name,first_name,last_name,price,above_100
Melissa Miller,Melissa,Miller,162.6066945,true
Leslie Mccormick,Leslie,Mccormick,282.5021066,true
Carlos Rubio,Carlos,Rubio,63.21802404,
David York,David,York,86.53219266,
Gabriella Anthony,Gabriella,Anthony,7.638645405,
Olivia Poole,Olivia,Poole,117.85417199999999,true
Wayne Wilson,Wayne,Wilson,74.67047228,
Elizabeth Moore,Elizabeth,Moore,267.3988136,true
Janice Campbell,Janice,Campbell,33.4533981,
Julie Johnson,Julie,Johnson,63.64156782,
Misty Cantrell,Misty,Cantrell,189.0392091,true
Robert Soto,Robert,Soto,109.0138357,true
Brenda Cowan,Brenda,Cowan,60.84957659,
Kelly Guerrero,Kelly,Guerrero,259.5112157,true
David Nichols,David,Nichols,19.48524858,
Kayla Taylor,Kayla,Taylor,186.2356283,true
Antonio Garcia,Antonio,Garcia,125.47721259999999,true
Tyler Cisneros,Tyler,Cisneros,186.58982949999998,true
Jillian Crawford,Jillian,Crawford,158.8172773,true
Karl Pierce,Karl,Pierce,132.7746811,true
Joann Taylor,Joann,Taylor,276.9621962,true
Jennifer Jenkins,Jennifer,Jenkins,59.12858208,
Nancy Brown,Nancy,Brown,78.87073418,
Emma Munoz,Emma,Munoz,120.8428757,true
Shawn Galloway,Shawn,Galloway,141.0298622,true
Melissa Mcguire,Melissa,Mcguire,213.08212039999998,true
Bryan Chavez,Bryan,Chavez,125.396156,true
Fernando Salazar,Fernando,Salazar,256.1537305,true
Megan Moore,Megan,Moore,251.34779849999998,true
Robert Williams,Robert,Williams,175.209725,true
Dennis Sanford,Dennis,Sanford,29.45043264,
Kimberly Herrera,Kimberly,Herrera,154.8076505,true
Gloria Potts,Gloria,Potts,289.1049353,true
Suzanne Barnett,Suzanne,Barnett,8.470995351000001,
Leah Myers,Leah,Myers,44.5579739,
Kylie Thomas,Kylie,Thomas,13.45341602,
Amanda Murphy,Amanda,Murphy,50.55321552,
Christopher Matthews,Christopher,Matthews,282.3634971,true
Nicole Parks,Nicole,Parks,52.28399767,
Bobby Martin,Bobby,Martin,205.4899695,true
Kevin Chambers,Kevin,Chambers,121.17110159999999,true
Kimberly Lawson,Kimberly,Lawson,250.2880742,true
Rachel Lopez,Rachel,Lopez,101.8881123,true
Christopher Clay,Christopher,Clay,219.3845088,true
Daniel Martin,Daniel,Martin,0.30019336,
William Taylor,William,Taylor,66.55747014,
Steven Johnson,Steven,Johnson,111.293282,true
Daniel Miller,Daniel,Miller,80.57756789,
Taylor Bryant,Taylor,Bryant,187.6315408,true
Lauren Jones,Lauren,Jones,194.7926312,true
Lindsey Robertson,Lindsey,Robertson,22.73764686,
Allison Thomas,Allison,Thomas,168.33349750000002,true
Vernon Bishop,Vernon,Bishop,216.1870446,true
Susan Parsons,Susan,Parsons,132.918526,true
Brady Snyder,Brady,Snyder,210.39608629999998,true
Brent Mcgrath,Brent,Mcgrath,174.69835669999998,true
Peter Smith,Peter,Smith,278.60801810000004,true
Deborah Fox,Deborah,Fox,248.12282340000002,true
Heather Collins,Heather,Collins,147.4274074,true
Phillip Meyers,Phillip,Meyers,102.7977472,true
Nicholas Hubbard,Nicholas,Hubbard,275.40083639999995,true
Misty Ramirez,Misty,Ramirez,62.31681444,
Scott Johnson,Scott,Johnson,85.87388958,
Jay Nixon,Jay,Nixon,253.46747870000002,true
Tony Hall,Tony,Hall,61.19716522,
Taylor Smith,Taylor,Smith,41.49264584,
Mark Reynolds,Mark,Reynolds,70.49794436,
Marilyn Christensen,Marilyn,Christensen,155.48545330000002,true
Denise Atkins,Denise,Atkins,185.451601,true
Melissa Gonzales,Melissa,Gonzales,228.0025997,true
Henry Hoffman,Henry,Hoffman,229.6628876,true
Daisy Davenport,Daisy,Davenport,59.52753518,
Christopher Paul,Christopher,Paul,122.7131699,true
Kevin Craig,Kevin,Craig,148.20105159999997,true
Natalie Coleman,Natalie,Coleman,122.14404520000001,true
Jeremy Strickland,Jeremy,Strickland,130.8435662,true
Gary Bonilla,Gary,Bonilla,162.6152534,true
Amanda Richards,Amanda,Richards,236.5957164,true
Heidi Perez,Heidi,Perez,245.17572280000002,true
Robert Johnson,Robert,Johnson,174.69223459999998,true
Gary Mills,Gary,Mills,183.8363212,true
Chelsea Caldwell,Chelsea,Caldwell,16.12083718,
John Frye,John,Frye,223.27741749999998,true
Michael Strong,Michael,Strong,220.41223219999998,true
Christopher Delgado,Christopher,Delgado,85.78279752,
Whitney Wallace,Whitney,Wallace,253.45561830000003,true
Rebecca Martinez,Rebecca,Martinez,59.68320226,
Marissa Mccoy,Marissa,Mccoy,116.9634653,true
Ricky Kerr,Ricky,Kerr,38.99584409,
Anna Campbell,Anna,Campbell,249.92134040000002,true
Marie Walters,Marie,Walters,73.38808729,
Robert Martin,Robert,Martin,38.22288302,
Marc Davis,Marc,Davis,162.2802619,true
James Dixon,James,Dixon,159.37943280000002,true
Vicki Ramirez,Vicki,Ramirez,186.1602427,true
Krista Campbell,Krista,Campbell,161.2338436,true
Lauren Patterson,Lauren,Patterson,170.2123273,true
Megan Clark,Megan,Clark,290.2581556,true
Judy Zimmerman,Judy,Zimmerman,219.58882549999998,true
Joseph Williams MD,Joseph,MD,210.7841859,true
Lori Acevedo,Lori,Acevedo,210.6602899,true
William Taylor,William,Taylor,275.6331763,true
Dawn Snyder,Dawn,Snyder,248.98404169999998,true
Jennifer Simmons,Jennifer,Simmons,80.68353707,
Alyssa Nunez,Alyssa,Nunez,163.80090019999997,true
Robert Black,Robert,Black,63.92800482,
Julia Young,Julia,Young,239.2396683,true
Melinda Barnes,Melinda,Barnes,227.2506352,true
Mr. Brett Armstrong,Brett,Armstrong,154.1341836,true
Erik Stevenson,Erik,Stevenson,246.0040722,true
Daniel George,Daniel,George,34.80089308,
Lindsey Jones,Lindsey,Jones,197.7020395,true
Virginia Lopez,Virginia,Lopez,227.4255915,true
Andrew Brown,Andrew,Brown,92.88318049,
Donna Lowery,Donna,Lowery,264.8326094,true
Alexis Andrade,Alexis,Andrade,6.313985183,
Alyssa Pierce,Alyssa,Pierce,47.74032516,
Tara Johnson,Tara,Johnson,38.26768696,
Michael Brady,Michael,Brady,162.0594322,true
James Rhodes,James,Rhodes,51.92414009,
Pamela Scott,Pamela,Scott,42.43333392,
Martin Ward,Martin,Ward,170.94982480000002,true
Kristina Hernandez,Kristina,Hernandez,107.69157179999999,true
Robert Bush,Robert,Bush,87.18004191,
Rebecca Larson,Rebecca,Larson,214.3895725,true
Brittany Watson,Brittany,Watson,190.520018,true
Ryan Ramirez,Ryan,Ramirez,249.7287913,true
Edward Burns,Edward,Burns,87.64996993,
John Prince,John,Prince,31.73842034,
Ashley Boyer,Ashley,Boyer,107.6625992,true
James Dean,James,Dean,61.6954542,
Natalie Gordon,Natalie,Gordon,268.2800094,true
Ryan Smith,Ryan,Smith,136.207813,true
Stephen Thompson,Stephen,Thompson,54.29639714,
William Delgado,William,Delgado,96.25442517,
Brian Johnson,Brian,Johnson,124.929208,true
James Patel,James,Patel,216.6056429,true
Allen Rogers,Allen,Rogers,145.4342467,true
Aimee Reyes,Aimee,Reyes,277.6656815,true
Susan Williams,Susan,Williams,255.21535319999995,true
Edward Griffin,Edward,Griffin,108.62052220000001,true
Debra Baker,Debra,Baker,296.5003089,true
Yvette Kramer,Yvette,Kramer,279.9371174,true
Alyssa Williams DVM,Alyssa,DVM,270.8972241,true
John Cunningham,John,Cunningham,173.0242833,true
Dana Gilbert,Dana,Gilbert,86.51917139,
Stephen Henry,Stephen,Henry,146.15155780000003,true
Bradley James,Bradley,James,137.9824935,true
Melinda Peters,Melinda,Peters,16.83003044,
Robert Goodman,Robert,Goodman,213.54239840000002,true
Leslie Moore,Leslie,Moore,195.96307990000003,true
Sarah Gray,Sarah,Gray,270.79472880000003,true
Amy Haynes,Amy,Haynes,258.5062773,true
Gary Dean,Gary,Dean,184.425152,true
Jonathan Duran,Jonathan,Duran,224.5361417,true
Elizabeth Ruiz,Elizabeth,Ruiz,124.66944950000001,true
Caitlin Lewis,Caitlin,Lewis,196.3598959,true
Micheal Blackburn,Micheal,Blackburn,10.44317525,
Sheryl Mccarthy,Sheryl,Mccarthy,159.9519731,true
Lisa Smith,Lisa,Smith,150.9122679,true
Jared Juarez,Jared,Juarez,247.56064569999998,true
Brett Castro,Brett,Castro,217.3328585,true
Jessica Murray,Jessica,Murray,175.30221840000002,true
Austin Coffey,Austin,Coffey,16.25913962,
Shelly Jacobs,Shelly,Jacobs,3.8567620519999997,
Elizabeth Logan,Elizabeth,Logan,298.74232810000007,true
Cody Anderson,Cody,Anderson,128.0814967,true
Kayla Wood,Kayla,Wood,256.05287599999997,true
Paul Singh DDS,Paul,DDS,157.9636169,true
James Mays,James,Mays,245.24330719999998,true
Thomas Moore,Thomas,Moore,244.5914982,true
Linda Pacheco,Linda,Pacheco,299.60400699999997,true
Jenny Clark,Jenny,Clark,66.32311808,
Patrick Guzman,Patrick,Guzman,223.49659810000003,true
Mr. Scott Peters,Scott,Peters,229.487331,true
John Stevenson,John,Stevenson,23.09927229,
Kristina Brooks,Kristina,Brooks,154.68058259999998,true
Nancy Aguilar,Nancy,Aguilar,63.38787527,
Robert Brown,Robert,Brown,132.73295359999997,true
Jessica Williams,Jessica,Williams,255.95815770000002,true
David Brown,David,Brown,290.59448060000005,true
Dorothy Munoz,Dorothy,Munoz,242.56454,true
Jason Lawson,Jason,Lawson,76.09246622,
James Hall,James,Hall,167.9698314,true
Patricia Carpenter,Patricia,Carpenter,46.08147123,
Jeff Cardenas,Jeff,Cardenas,64.36052627,
Michelle Johnson,Michelle,Johnson,19.18945036,
Frank Madden,Frank,Madden,17.34021424,
George Tanner,George,Tanner,291.4292653,true
Dylan Johnson,Dylan,Johnson,40.65328581,
Pamela King,Pamela,King,282.4817647,true
Jesse Frazier,Jesse,Frazier,95.66568525,
Edward Russell,Edward,Russell,103.2235913,true
Diana Mcdonald,Diana,Mcdonald,183.096436,true
Randy Dawson,Randy,Dawson,192.1441514,true
Jasmine Williams,Jasmine,Williams,286.16923360000004,true
Robert Smith,Robert,Smith,124.219007,true
Sara Young,Sara,Young,183.9944858,true
Samantha Gonzalez,Samantha,Gonzalez,205.5899257,true
Christina Torres,Christina,Torres,286.2681619,true
Maria Bailey,Maria,Bailey,141.9076294,true
Charles Bartlett,Charles,Bartlett,94.22658657,
Natalie Parker,Natalie,Parker,238.01615890000002,true
Paula Hernandez DDS,Paula,DDS,48.88381678,
Jessica Jenkins,Jessica,Jenkins,14.94777896,
Drew Henson,ew,Henson,223.07613089999998,true
Michael Davis,Michael,Davis,17.98090899,
Ian Ramos,Ian,Ramos,23.68465648,
Anna Wright,Anna,Wright,235.5824596,true
Ashley Anderson,Ashley,Anderson,74.40865878,
Jennifer Wright,Jennifer,Wright,298.1278773,true
Nicole Lopez,Nicole,Lopez,67.72888616,
Tara Ellis,Tara,Ellis,21.92761435,
Hannah Elliott,Hannah,Elliott,42.35003061,
Gavin Rodriguez,Gavin,Rodriguez,116.36642420000001,true
Johnny Jackson,Johnny,Jackson,291.5968901,true
Martin Garrett,Martin,Garrett,147.06705559999997,true
Terri Hayes,Terri,Hayes,167.36096730000003,true
Adam Huang,Adam,Huang,260.8409357,true
Carolyn Garner,Carolyn,Garner,104.41065350000001,true
Lisa Lee,Lisa,Lee,130.22025109999998,true
Rodney Escobar,Rodney,Escobar,8.711600244,
Michael Johnson,Michael,Johnson,144.5450063,true
Michelle Carter DVM,Michelle,DVM,55.94822858,
John Dunn,John,Dunn,81.5436983,
Terry Pierce,Terry,Pierce,297.86618239999996,true
David Buck,David,Buck,258.79109040000003,true
Jennifer Newman,Jennifer,Newman,149.30963630000002,true
Cynthia Lee,Cynthia,Lee,246.5934196,true
Sylvia Clark,Sylvia,Clark,299.52523510000003,true
Joseph Taylor,Joseph,Taylor,86.08285036,
Kathleen Barton,Kathleen,Barton,37.42180870000001,
Michael Harris Jr.,Michael,Jr.,52.86340979,
Eric Benson,Eric,Benson,172.1967218,true
Curtis Butler,Curtis,Butler,44.51322087,
Brittany Le,Brittany,Le,51.04878875,
Jeremiah Sims,Jeremiah,Sims,101.161794,true
David Davis,David,Davis,290.4227547,true
Tiffany Bond,Tiffany,Bond,181.4895479,true
Patricia Chen,Patricia,Chen,61.60059465,
William Crawford,William,Crawford,181.76037490000002,true
Christina Roberts,Christina,Roberts,29.28680092,
Jerome Scott,Jerome,Scott,232.1441336,true
Jeffery Walker,Jeffery,Walker,272.0840276,true
Todd Alvarez,Todd,Alvarez,212.17336319999998,true
John Henry,John,Henry,223.9911858,true
James Miles,James,Miles,156.36757780000002,true
Michael Downs,Michael,Downs,31.19720611,
Kayla Wheeler,Kayla,Wheeler,6.095911005,
Charles Martin,Charles,Martin,161.27522869999999,true
Harold Bennett,Harold,Bennett,135.04235500000001,true
Michael Swanson,Michael,Swanson,200.39235280000003,true
Janet Mcdonald,Janet,Mcdonald,79.80353707,
Brett Willis,Brett,Willis,244.40641150000002,true
Jacob Smith,Jacob,Smith,27.92322882,
Alexa Webb,Alexa,Webb,167.5688585,true
Louis Klein,Louis,Klein,40.12200004,
Tony Yu,Tony,Yu,15.74238645,
Lisa Goodman,Lisa,Goodman,121.07840959999999,true
Kimberly Hernandez,Kimberly,Hernandez,36.97352302,
Phillip Friedman,Phillip,Friedman,145.84183080000003,true
Brian Lam,Brian,Lam,2.900394487,
Kristin Wilkins,Kristin,Wilkins,251.8510287,true
Joshua Lynch,Joshua,Lynch,188.87811100000002,true
Blake Mclaughlin,Blake,Mclaughlin,276.65121569999997,true
Billy Olsen,Billy,Olsen,10.00480704,
Shawn Brock,Shawn,Brock,179.61580859999998,true
Danielle Jones,Danielle,Jones,222.69520759999997,true
Jim Gomez,Jim,Gomez,60.12919733,
Sabrina Henderson,Sabrina,Henderson,178.7453853,true
David Pennington,David,Pennington,245.3184012,true
Deborah Williams,Deborah,Williams,137.015971,true
Stephanie Bowman,Stephanie,Bowman,227.0047204,true
Joseph Frazier,Joseph,Frazier,176.45330230000002,true
Ryan Mclaughlin,Ryan,Mclaughlin,249.86437599999996,true
Tony Hall,Tony,Hall,135.8550959,true
Timothy Martin,Timothy,Martin,289.2653637,true
John Obrien,John,Obrien,261.8481216,true
Barbara Johnson,Barbara,Johnson,53.80589508,
Brandon Marshall,Brandon,Marshall,139.84778269999998,true
Carrie Miller,Carrie,Miller,11.55550873,
Samantha Dean,Samantha,Dean,261.61934069999995,true
Jamie Wilson,Jamie,Wilson,87.74932378,
Carlos Acosta,Carlos,Acosta,236.6035296,true
Amy Bennett,Amy,Bennett,228.74945780000002,true
Dominique Wells,Dominique,Wells,116.64359540000001,true
Sarah Bright,Sarah,Bright,237.51607830000003,true
Michael Barton,Michael,Barton,111.5883392,true
Rebecca Anderson,Rebecca,Anderson,172.3062642,true
Megan Riggs,Megan,Riggs,31.41542458,
Whitney Andrews,Whitney,Andrews,44.1176993,
Catherine Jones,Catherine,Jones,127.0135122,true
William Andrews,William,Andrews,236.21807630000004,true
Kathleen Edwards,Kathleen,Edwards,158.32395380000003,true
Roger Frost,Roger,Frost,220.46888739999997,true
Justin Johnson,Justin,Johnson,255.8491608,true
Valerie Young,Valerie,Young,265.1702577,true
Samantha Perez,Samantha,Perez,239.94697969999999,true
Devin Allen,Devin,Allen,72.15833791,
Stephanie Little,Stephanie,Little,238.9238728,true
Melanie Miller,Melanie,Miller,27.5070475,
Erica Beck,Erica,Beck,2.4085263969999997,
Toni Dunn,Toni,Dunn,168.37336200000001,true
Eric Dunn,Eric,Dunn,211.89758909999998,true
David Jackson,David,Jackson,169.3550529,true
Melanie Gates,Melanie,Gates,94.66629008,
Heather Pierce,Heather,Pierce,17.41061969,
Jordan Lewis,Jordan,Lewis,153.01461740000002,true
Michele Johnson,Michele,Johnson,255.7149801,true
Samantha Ryan,Samantha,Ryan,249.4925261,true
Christopher Hudson,Christopher,Hudson,201.9997518,true
Zachary Williams,Zachary,Williams,106.59921640000002,true
Donna Davis,Donna,Davis,66.72879991,
Jordan Erickson,Jordan,Erickson,237.7720748,true
Christopher Nolan,Christopher,Nolan,88.74278259999998,
Evelyn Hanna,Evelyn,Hanna,11.36458787,
Jason Johnson,Jason,Johnson,250.23147020000002,true
Barbara Caldwell,Barbara,Caldwell,224.7115849,true
Ronald Huff,Ronald,Huff,7.2205434639999995,
Holly Norris,Holly,Norris,216.2305109,true
Derrick Carter,Derrick,Carter,11.83791299,
Kenneth Golden,Kenneth,Golden,285.8508169,true
Grace Edwards,Grace,Edwards,70.08655795,
Jonathan Rios,Jonathan,Rios,57.71259736,
Mackenzie Miller,Mackenzie,Miller,265.5941732,true
Tammy Taylor,Tammy,Taylor,138.8559857,true
Reginald King,Reginald,King,207.33056059999998,true
Matthew Fletcher,Matthew,Fletcher,130.5591612,true
Elizabeth Jordan,Elizabeth,Jordan,177.7124355,true
Sally Santiago,Sally,Santiago,45.11902986,
James Johnson,James,Johnson,12.89573538,
Jason Saunders,Jason,Saunders,242.8437386,true
Carol Hernandez,Carol,Hernandez,4.6243706410000005,
Kendra Dawson,Kendra,Dawson,291.5212704,true
James Hess DDS,James,DDS,58.42698092,
Michael Stokes,Michael,Stokes,25.51886602,
Jeffrey Martinez,Jeffrey,Martinez,147.6903791,true
Joseph Bell,Joseph,Bell,102.9874282,true
Pamela Black,Pamela,Black,140.71938899999998,true
Robert Jordan,Robert,Jordan,100.4711011,true
Kathy Baker,Kathy,Baker,263.5511899,true
Brian Bailey,Brian,Bailey,115.36283159999999,true
Mitchell Clark,Mitchell,Clark,190.2857937,true
Kelly Mcintyre,Kelly,Mcintyre,168.73442690000002,true
Susan Ali,Susan,Ali,260.5821259,true
Latoya Gonzales,Latoya,Gonzales,205.04242219999998,true
Olivia Mayo,Olivia,Mayo,251.53931630000002,true
Thomas Anderson,Thomas,Anderson,221.03202140000002,true
Todd Jennings,Todd,Jennings,182.3938507,true
Paul Dixon,Paul,Dixon,22.25760841,
